,question,humor
0,Will the volca sample get me a girlfriend?,True
1,Can u communicate with spirits even on Saturday?,True
2,I won't get hunted right?,True
3,I have a few questions.. Can you get possessed? Can you be any age older than 13.?,True
4,Has anyone asked where the treasure is? What was the answer you received?,True
5,Does the board comes with the spirit's?,True
6,when i bought this product and used it i was suddenly compelled to eat a 5lb bag of gummy bears is this normal?,True
7,so if I get this game I wont be haunted........right?,True
8,Does a demon appear😱?,True
9,Did this game summon the infamous spirits zozo and mama? Did anyone get in contact with deceased family members?,True
10,Are you all crazy?,True
11,Will this game convert me to the Scientologist religion?,True
12,How do I get rid of the malignant demon that came with the game?,True
13,Is this a co-op board game? Can my new born play this game?,True
14,can i get lottery winning numbers,True
15,we have a ouija board.is ok having it displayed in bathroom.,True
16,The board is calling me mama my sister nana my dad papa and calling itself zaza (seriously not joking) what should i do/say?,True
17,Can I use the board to open a portal to hell?,True
18,will demons possess me?,True
19,Has anyone tried to contact a demon haunting them with this?,True
20,When i got the board i metioned gods name jehova the board flew of my table then i read the bible it said that demons scurry off is this safe,True
21,Will someone out there with a ouija boards ask the demons why he doesn't love me ?,True
22,can i uleash demons on my enemys,True
23,"Does it answer for you? Cuz I've heard you gotta ""Pretend"" to move it. man if it moves by itself I will never be the same.",True
24,Have you all asked the Ouija board the winning lotto numbers?,True
25,why do you sell this garbage?,True
26,can you contact with the dead?,True
27,don't mess with  them,True
28,Once summoned can I get the demons to do my dark bidding for free or is there some kind of membership fee?,True
29,Has anyone spoken to Prince (from Purple Rain) or any other celebrities using this board?,True
30,Will this give you the power of GEEBUS,True
31,Can I ask a spirit to haunt my ex boyfriend to death. He took my underwears and dresses.. never returned!,True
32,Do you really contact evil spirts,True
33,I'm curious to know who killed my sons father cousin  would someone find out for me please his mother is in need of answers and so is his sons mom,True
34,Will this help me summon Satan?,True
35,can spirit predict the future?,True
36,My board started on fire while playing. Is this normal?,True
37,If I play it once will I get possessed,True
38,Can I talk to people in heaven with this?,True
39,How do you get it to stop levitating?,True
40,do you need to sign for it,True
41,has it worked without batteries?,True
42,Guys was is there a black shadow in the corner of my room,True
43,"My wife and i never had issues (until we were married). she recently disappeared. Is ""The Ouija Made Me Do It"" a valid legal defense?",True
44,During a ouija session is it safe to switch languages (from english to spanish) in the middle of It?,True
45,How do I get a spirit to communicate?  I just got this board today. I asked a question but nothing came up.,True
46,is this game powered by satan or does it come with batteries?,True
47,Is this a real ouija board? Is it the cheap one?,True
48,Can i use this to fill my ex girlfriends house with demons as a prank?,True
49,Will I get possess?,True
50,is it evil!?,True
51,would i be able to contact my dad?,True
52,Can it help virg*n ret*rds figure out whether their mexican housemate is possessed?,True
53,If I'm going to get a new job soon ?,True
54,will demons possess me?,True
55,Will Demons Possess me bc i dont want to and im afraid to get it,True
56,How was it decided that the age limit started at 8 years old? Lmao,True
57,Does it moves?,True
58,Are you all crazy?,True
59,When i was playing my pet dog started to levitate and now every time i play my Pug won't come down from the ceiling? Is there any way to fix this?,True
60,Will someone please ask my uncle al how he and my dog pickett is doing? thank you!,True
61,can you contact with the dead?,True
62,So the age minimum for summoning Satan is 8?,True
63,"Does it answer for you? Cuz I've heard you gotta ""Pretend"" to move it. man if it moves by itself I will never be the same.",True
64,Will this help,True
65,Can i demand a refund as i'm now possessed and in need of a catholic priest? i keep power puking green stuff and my bed will not stay on the ground!,True
66,Is it really or a prank?,True
67,Would I look totally awesome with one of these at school,True
68,Is this for english speaking spirits only? will they eventually release this in other languages such as spanish or chinese?,True
69,It just killed my dog what do I do?,True
70,It has not worked for me or my friend. Should I try it by myself if I think it is a hoax?,True
71,Can I summon a spirit and talk to them casually? I'm just interested in what goes on with ppl. tks,True
72,How can you tell the difference between a demon and a regular spirit?,True
73,Should I mess around with this stuff or hell no,True
74,I honestly don't know what this is. Lol. Is it dangerous?,True
75,so if I get this game I wont be haunted........right?,True
76,Is this able to contact the spirits around us,True
77,why do we need 16 Playing Pegs with ouija board?,True
78,My board started on fire while playing. Is this normal?,True
79,i bind and rebuke use of this board in the name of jesus. and no ? about it.,True
80,Is this mask certified for wrestling by the luche libre association of qzehecoatl?,True
81,How do you live with yourself?,True
82,Can you download your dna to use it with prometheus?,True
83,Will this tube make girls like me more?,True
84,What if the bear has a screwdriver?,True
85,Will these wprk to power my time machine?,True
86,Can it be used as toilet paper?,True
87,Will this make me see through space and time?,True
88,can i use this as v bucks in fortnite  reeeeeeeeee?,True
89,Can I use these instead of dilithium crystals to power my starship?,True
90,can i use it as v bucks for fOrTnItE,True
91,Does the doctor coat come with it?,True
92,Does this hammock come witht the blonde thats in the picture?,True
93,Does your Vegan leather also do Crossfit?,True
94,Will these magnets increase my sex appleal?,True
95,Will you take my dog if he cant learn this?,True
96,Does the woman come with the bed!?,True
97,Are you sure the guy doesn't come with the product?,True
98,do they show the bulge or vpl?,True
99,Will I be as fit as the guy in the picture with these shorts?,True
100,how long do i have to wear before i look like the picture?,True
101,im attempting to become a chicken overlord. i want to have an army of chickens to rule the world. Will this help me earn the trust of other chickens?,True
102,How many times does Trevor wake up in his underwear in this game?,True
103,When this game because my real life. Does that mean my current real life just become a game?,True
104,Do you really have to play as a guy?,True
105,If i get this game will my life end?,True
106,Is it normal to be thrown into hysterics realizing this game comes out in less then a month?,True
107,Will Todd Howard send me food and water seeing as how I'll never leave my room after getting this game?,True
108,if I can eat food in Fallout do I need to eat food in real life?,True
109,if my heart stops will this games awesomeness revive me?,True
110,If you pick up everythingthen you can't move.There is no place to sellwhat do you pick upwhat do leave.,True
111,I have a p.o box if i pre-order this I'll get it in release day or after? also can I pay with bottle caps or just with us dollars?,True
112,Are there matching bill and Monica dolls w/ limber poses?,True
113,Where are the stripes?,True
114,Im guessing soul sold separatly right?,True
115,Does this come with hillary crying actually crying?,True
116,If I buy it will it delete all my emails?,True
117,What is her inmate number?,True
118,Does this figure have fake poop come out it's mouth?,True
119,With all the other inane questions here's mine. Can I eat a peanut butter &amp; jelly sandwich while wearing this?  What about other sammies?,True
120,if this is not for children under three could my four year old play it to talk to the ghosts in my hood?,True
121,OUIJA  BORAD   HAVE  SPIRIT IN  IT,True
122,Does the board come with the spirit ?,True
123,Will I become possessed and kill a lot of people?,True
124,if this is not for children under three could my four year old play it to talk to the ghosts in my hood?,True
125,Is this mystical device adequate to summon evil spirits whom I can direct to inflict harm upon ex-lovers and people of different ethnicities than me?,True
126,Am I going to die using this? I am so scared right now I feel like defyed God  and I just bought it . It hasn't arrived but I feel like sending it back. Literally I feel huge negative wave of energy  and if I am scared do you think I should return it.,True
127,I was wondering if the board was wooden and the plache was glass?,True
128,Has anybody killed a zombie with this knife yet?  If so is it an effective zombie clearing tool?,True
129,Can this kill Bugs Bunny?,True
130,does it slay dragons,True
131,Can this get rid of my mother in law?,True
132,Can i use this to hack into the matrix and save humanity?,True
133,Are you guys hype?!?,True
134,This thing is sexy and fly as hell. Nintendo why you so gud to me?,True
135,Iiiifffffff mario go to space how he breathe? thank you,True
136,where/when can i sell my soul for one of these?,True
137,Can I trade one of my kidneys?,True
138,Can i play switch on a plane? in the train or in the rain? can i play it here and there with my short hair holding a bear?,True
139,Can I sell my soul to the devil to get it early?,True
140,have you seen my wife?,True
141,If Link and Zelda hated each other what will happen to Ganon?,True
142,What if the princess wants to be with Bowser and Mario keeps kidnapping her?,True
143,would mario beat sonic in a fight,True
144,If All you base are belong to us then why bring sausage to a knife fight?,True
145,Will the switch cure cancer?,True
146,Can my mom play?,True
147,Could you not find s plus size woman to fit into the giraffe print?,True
148,Is the grapjuice at all the blood of christ? In looking for at least 10% christ,True
149,Am I going to hell if I eat like 10 of these at once?,True
150,Will someone wish me a merry christmas?,True
151,Will i goto jail for buying this? Lol,True
152,Does Emma Watson come to your house a lot?,True
153,Will this launch a McDonald's cheeseburger?,True
154,Does the girl come with it?,True
155,My boyfriend wants to know if he can hear the ocean with these? I don't get it :(,True
156,Why is there a woodpecker in my dash board.,True
157,Is it a microwave?,True
158,So do you get a live feed of area 51 with this TV?,True
159,How many would it take to form a full tv circle so my buds & I can game like bosses from lazyboys in the musical chairs position? bulk discount?,True
160,Will this tv inform me of future events & crimes like the pre-cogs of minority report?,True
161,why the duck is this priced,True
162,Will the screen break if i breathe on it?like my samsung s4twice!,True
163,Will I be able to see into the future?,True
164,my dog has worms is the angle going to prevent him from properly scooting?,True
165,What things would i need to sell in order to buy this tv? Like my virginity?,True
166,When you un-box the TV - Has anyone had sweat shop workers crawl out of the TV bezel and ask to defect?,True
167,Should I join the cartels to be able to buy this TV?,True
168,Can I still get into heaven if I buy this?,True
169,Does this television resurrect dead actors?,True
170,Does this TV slide well on snow?,True
171,Does it require any special glass cleaners?  My minions need to know,True
172,How rich are you people?,True
173,I could go to the dinner theater see every movie get drunk and and get a DWI every night  or I could get this. Whats a better value?,True
174,I'm a 48 year old virgin and my wife of 12 years loves sappy movies. Does this tv help men with my condition?,True
175,IS THIS TV A JOKE OR WHAT????  I CAN'T BELIEVE IT...,True
176,should i buy this or feed my kids,True
177,If i play doom on this tv will the fireballs come out of the screen and burn me alive?,True
178,does the tv have its own sattelite in space,True
179,If I buy 10 of these TV's can I make Cerebro. I've been looking for the other mutants.,True
180,Can this thing cure cancer?,True
181,Is this investment EMP protected?  Do I need to build a Faraday cage around this thing?  I want to be able to power this up even after we vaporize.,True
182,Can I make the down payment with food stamps.,True
183,does this worth more than a mercedes?,True
184,What superhero powers do I get if I purchase this television?,True
185,Is this the TV that Joey and Chandler used to get free porn?,True
186,Would my cat look life size or larger than life on this?,True
187,Can this beautiful t.v play what I am thinking? I need an answer quick because their is only 1 left in stock!!!  Help help me please,True
188,"If I use the kids college fund to buy this awesome TV can my wife ask for a divorce on grounds of "" Irreconcilable Differences "" ?",True
189,Does Kim Jong Un or Dennis Rodman have one of these?,True
190,Does it come pre-loaded with cocaine?,True
191,Can I get a 20 or 30 year fixed loan on this or should i just sell my house?,True
192,For $120k does this TV come with strippers?,True
193,"I am working on setting up a rain water harvesting plant for our ""family""s commune. Is the television waterproof? Is it vegan? Gluten-free?",True
194,how does anyone have the money to buy this,True
195,Can I pay for it using cattle?,True
196,Escuse me sir what aisle are the paper towels in?,True
197,Would my cat look life size or larger than life on this?,True
198,Does this television resurrect dead actors?,True
199,I'm hoping it can double as a Helicopter Landing Platform which would enable me to watch Pawn Stars on take-offs and landings!,True
200,people buy this ?,True
201,Can I hook it up to my cell phone charger battery pack?  So I can use it as a GPS in my car.,True
202,Will it blend?,True
203,Will it fit in the back of my geo metro?,True
204,When will this be available again? i need 7 of them for my blind gma I'm hopping 7 is the trick.,True
