,question,humor
0,Is AudioPocket only for iPhone (recording sounds)  and can i download samples off my computer?,False
1,Standard shipping takes how long?,False
2,Can I use this my self?,False
3,If the felt comes off the guide can I return it? and if so how?,False
4,Does it acually work?,False
5,How do you play this board game? I heard it comes with no instructions on how to play.,False
6,will it work with one person?,False
7,does the planchette have the little pointer in it?,False
8,What are the board dimensions? The boards are getting so much smaller these days.,False
9,How much does cost shipping to Slovenia?,False
10,Has anyone read the product description? Description Product Description Plastic game unit with Pop-O-Matic die roller 16 Playing Pegs,False
11,Does the planchette need batteries?,False
12,I just ordered this Ouija. Is this the 1992 Model? What else should I expect? Great thanks.,False
13,Can u play by yourself? Y do u need 2 people?,False
14,Did it work for anyone,False
15,Do you ship this internationally?,False
16,Have you seen the NuCompanion?,False
17,Does this come,False
18,is it dangerous to just have it for display? and not use it?,False
19,Does this work does it actually move or is this bs,False
20,How sturdy is the board/How is the construction?,False
21,Is this a scam or does it work? :0,False
22,Can you play alone?,False
23,How much would shipping this to the Netherlands be ?,False
24,Do you ship this internationally?,False
25,How big is the planchette? What are the measurements?,False
26,Standard shipping takes how long?,False
27,Is it a board game,False
28,is the board made of wood?,False
29,Is it brand new?,False
30,What is it made of?,False
31,Is this a new ouija boad,False
32,Did it work for anyone,False
33,does it really works,False
34,I just ordered this Ouija. Is this the 1992 Model? What else should I expect? Great thanks.,False
35,Does it work??,False
36,Does this ouija board actually connect to the ghost realm please say the truth or is it only a game???,False
37,How much does cost shipping to Slovenia?,False
38,Is it real and do I move it or someone else? 8 need to know from the seller please!,False
39,Is this real?,False
40,Does the ouija board actuually work?,False
41,Is it really made out of wood or cardboard?,False
42,Does this really work? I've been into the occult and the supernatural/paranormal for as long as I can remember. Im confused if it's real or fake..,False
43,can kids under 11 use it,False
44,Is this new still in plastic never been used?,False
45,Is this even safe?,False
46,How much is shipping,False
47,Does this really work?,False
48,why is it saying pegs and pop o matic,False
49,Is it cordless? Or does it come with the plug?,False
50,What size or dimensions of board ?,False
51,And does it work? I've been watching this one guy do ouija board videos and I'm curious,False
52,Please give me a good answer does it work does it move by itself,False
53,is the board a single solid piece or is it folded cardboard?,False
54,Is this actually a safe way to connect with spirits and why can't I play alone,False
55,Is the board wood?,False
56,Does the board come with instructions?,False
57,"What's with the warning of chocking hazzard and small parts?  and what is up with the product description of ""with pop-o-matic die roller""?",False
58,it is made by wood ?,False
59,Is the board made of wood and not paper?,False
60,does this actually work?,False
61,Does this come,False
62,does it come with the box,False
63,Ive heard creepy stories about this game. Whats the most unusu thing you've seen while playing this game?,False
64,Can u send this to indonesian?,False
65,"I had a board years ago that looked like the photo on this page. it did not have a ""pop-o-magic dice roller""  so what is the seller selling???",False
66,does the planchette slide smoothly on the board,False
67,does this actually work?,False
68,What are the board dimensions? The boards are getting so much smaller these days.,False
69,Is it okay for a teen to use (I'm 15)?,False
70,So do this actually work because i might buy one and do it with my friends,False
71,How does it taste?,False
72,How do you dispose of it when you don't want it anymore?,False
73,Is this a scam or does it work? :0,False
74,how mutch does shipping cost?,False
75,Does it work,False
76,Is this a real board?,False
77,where's it shipping from,False
78,Can u play by yourself? Y do u need 2 people?,False
79,If the felt comes off the guide can I return it? and if so how?,False
80,Will this fit a mans head size 7 5/8 hat size?,False
81,Yes i have a question amazon will you ever have a day where golden mario goes on a sale? like 42% or 47% your company can get lots of cash for that,False
82,How long does it take to get a response?  Its been more than a month since I put it in the mail and I haven't heard anything.,False
83,what kind of sound will this give me in the distortion area?,False
84,The photo isn't very clear. Is there a place to attach a d ring on it to hang it in a tree?,False
85,is it blue though,False
86,Does it cut you,False
87,is it blue though,False
88,Is it real,False
