,text,humor
0,The two make love.,False
1,See Great Apostasy.,False
2,Sheep sound 3.,False
3,"As one wrestler lost , another one entered.",False
4,"Soon , they became best friends.",False
5,The boys make friends.,False
6,They have two children.,False
7,Fire begins to return.,False
8,That isn't true.,False
9,Telemachus gets home first.,False
10,"Like many Javanese , Suharto had only one name.",False
11,Gaye had three children.,False
12,They have three children.,False
13,Little of his life and work is known today.,False
14,Many breeds of horse carry pinto patterns.,False
15,Three species live in fresh water rivers.,False
16,She decides to run away from home.,False
17,The sand here is fine and white with clean water.,False
18,If I can't get that sound I can't play anything . '',False
19,Many Chinese men settled in black communities and in turn married black women.,False
20,Different instructions may take different amounts of time.,False
21,Many police officers carry clipboards.,False
22,"To see a real time example , see.",False
23,Go ''.,False
24,The red head has two long black spines with clubbed ends.,False
25,The two men met in Rome in 1870.,False
26,This is a Bad Thing.,False
27,Sushun had one Empress and two Imperial children.,False
28,See http://www.gnu.org/copyleft/.,False
29,Trains run every two minutes during peak periods.,False
30,Two drunken men see the light and walk over to take a closer look.,False
31,"Well , see you later.",False
32,See also Fruit tree pollination.,False
33,See moment.,False
34,Instruction can take place in Afrikaans as well.,False
35,See Iowa.,False
36,I don't know any.,False
37,Albatross chicks take a long time to fledge.,False
38,US Alt.,False
39,Individual dogs may live well beyond the median of their breed.,False
40,The three men set off for the village.,False
41,Weismann is much admired today.,False
42,Gives 0.,False
43,Many school-aged children can learn a second language.,False
44,Zeshan is another similar name.,False
45,"If any time we shall meet another Marooner that Man shall sign his Articles without the Consent of our Company , shall suffer such Punishment as the Captain and Company shall think fit.",False
46,"The Great Nundle Dog Race , only open to working dogs , is run on the first Sunday in May and attracts many visitors.",False
47,A team of sled dogs may consist of anywhere from three to two dozen dogs.,False
48,The first two were Buddhist Rajputs and the last two Hindu Brahmins.,False
49,529 people were put out of work with three days ' notice.,False
50,"She said without love , lust is like hunger of a caterpillar.",False
51,"Ann rolls a 1 , and must end her turn without scoring.",False
52,"Another early globe , the Hunt-Lenox Globe , ca.",False
53,The water should be completely changed every two weeks.,False
54,He doesn't just lie down and take abuse.,False
55,The children live with the mother for seven years.,False
56,Many Baba lovers work or live in the vicinity.,False
57,She performed it live on the album Black Gold.,False
58,The two men set off for Alcmene 's house.,False
59,Many people eat lunch while at work or school.,False
60,No one else can `` know our mind . '',False
61,It can't be duplicated in my life . '',False
62,New arrivals go to the back of the queue.,False
63,These are dome-shaped and look like stout little slugs.,False
64,A match consists of one set or three sets.,False
65,"The first two sections are meant to represent life , the last two death and transfiguration.",False
66,Their tails may be from long.,False
67,"It was nominated for Best Director , Best Picture , and Best Sound.",False
68,The Old Persian language is one of the two attested Old Iranian languages.,False
69,Season five follows two time lines.,False
70,Timmy goes back to save Martin.,False
71,"Though he had many children , none of them would ever become emperor.",False
72,Trains generally run every fifteen minutes.,False
73,LeSieg and one as Rosetta Stone.,False
74,"Where daylight saving time is used , `` standard time '' may refer to the time without daylight saving time.",False
75,Genet would never return to prison.,False
76,"Then relief would come to Saul ; he would feel better , and the evil spirit would leave him . ''",False
77,There are also many great parks.,False
78,It organises Reading Day every year.,False
79,"Good Night , and Good Luck.",False
80,"His time abroad would last three years and cost his father $ 2,604.24.",False
81,Several detachments make up a company.,False
82,That 's what keeps us going.,False
83,"By its end , two men simultaneously claimed to be the true pope.",False
84,Poorer children never went to school.,False
85,An individual may serve two terms.,False
86,Opeth performed three special shows in Europe with two song lists each - one acoustic set and one heavy set.,False
87,Locke never married nor had children.,False
88,Contemporary multimeters can measure many quantities.,False
89,However early in the last morning two separate groups of children complete it.,False
90,"Like , man if I could just grow one , that would take care of a lot of problems . ''",False
91,Two has many properties in mathematics.,False
92,"If nobody notices , nothing happens.",False
93,Nearly everybody and everything are ominous of good or evil to the Kavirondo.,False
94,"If any Man shall offer to run away , or keep any Secret from the Company , he shall be marooned with one Bottle of Powder , one Bottle of Water , one small Arm , and Shot.",False
95,Thousands of boats go into the deep sea to fish and come back with tons of fish.,False
96,`` I had a great time in New York but couldn't wait to get back ''.,False
97,"One day , when the pianist didn't arrive by show time , Basie took his place.",False
98,His libretti were set many times by many different composers.,False
99,Stephenie will have to go back to Ulong camp alone.,False
100,"In a two out of three falls match , a wrestler must gain two decisions to win instead of only one.",False
101,Two and three are the only two consecutive prime numbers.,False
102,He was paid US$ 200 for two days ' work.,False
103,Little is known for certain of Josquin 's early life.,False
104,"Like every economic activity , it has changed over time.",False
105,The company 's full name is Lidl Stiftung & Co..,False
106,The name furlong derives from the Old English words and.,False
107,Longfellow would live there for the remainder of his life.,False
108,"This template takes three unnamed input parameters ; you must supply the first one , and the last two are optional.",False
109,The company enter the black forest of Mirkwood without Gandalf.,False
110,Rachel becomes the new Oracle and spouts another Great Prophecy.,False
111,Swiss cheese without eyes is known as `` blind . '',False
112,This one may be useful in articles with many diagrams.,False
113,Hercules replies that Zeus could make it work that way.,False
114,"Like many first-generation DMU classes , they never carried their 125xxx TOPS set numbers.",False
115,It began full operation two days after a ceremonial opening on 26 May 2006.,False
116,"O mother mine , words from your lips Are like nectar to my ears.",False
117,Never a day goes by that I do not think of what happened then.,False
118,A second fire in 1494 was set by the sons of a hanged thief.,False
119,One of the largest festivals in Australia used to take place here every April.,False
120,Heat periods occur about every two weeks and last about 4 to 7 days.,False
121,Transportation of the first house from Old Adaminaby to New Adaminaby took six days.,False
122,"One day in early 1997 , Van Der Beek auditioned for three television pilots.",False
123,A Life for the Tsar was the first of Glinka 's two great operas.,False
124,The instructions must name these values in order to distinguish them from one another.,False
125,"They take around three to five years to mature , and may live as long as fifty years.",False
126,"Members must speak the house language of French , but many also speak English and German as well.",False
127,"On the other hand , it doesn't allow one to set how many digits must be shown after the decimal dot.",False
128,"Which is true , in the sense that the black man should want to rob the white man of everything he has.",False
129,`` Two Cars in Every Garage and Three Eyes on Every Fish '' is the fourth episode of The Simpsons second season.,False
130,"The name Heimskringla was first used in the 17th century , derived from the first two words of one of the manuscripts.",False
131,"Keating is `` a man who never could be , but doesn't know it '' . The one sincere thing in Keating 's life is his love for Catherine.",False
132,The name Proterozoic comes from the Greek `` earlier life ''.,False
133,Another name for this color is mallow.,False
134,Brackish water condition commonly occurs when fresh water meets sea water.,False
135,Three binary operations.,False
136,"`` Won't Go Home Without You '' is the third single released from Maroon 5 's second album , It Won't Be Soon Before Long.",False
137,He used another pen name for novels.,False
138,Others live subtidally.,False
139,He gave everybody their letters from home.,False
140,This makes it easy to visualize how days and seasons change.,False
141,Maybe that makes me a bad actress.,False
142,He never conducted live in public again.,False
143,Judgments can be true or not true.,False
144,Many species of skippers look frustratingly alike.,False
145,He had three sisters and one brother.,False
146,"On the first day after , Vulcan stared at this fire for hours on end.",False
147,In both one can see the geodesics.,False
148,Grapes include KÃ©kfrankos for red wine and Traminer for white wine.,False
149,"For the first time , Bahrain hosted the first Grand Prix.",False
150,The name Beloeil or BelÅil is the name of two municipalities.,False
151,"Another standard designation is `` Canon : Two in One '' , which means two voices in one canon.",False
152,See Emailing users.,False
153,Every band was doing that thing . '',False
154,See for instructions.,False
155,It was front-page news for many days.,False
156,See also :.,False
157,For examples see.,False
158,Two is the first Mersenne prime exponent.,False
159,For his acting work he is credited under his full name.,False
160,"Many creeks empty into it , but the most water comes from the Mint River.",False
161,It is very much like a glaive.,False
162,The lines wouldn't meet until 2003.,False
163,The work was first performed in 1983.,False
164,Don't wikilink.,False
165,Mukda was never forecast to make landfall.,False
166,It was the first time that two women co-anchored Weekend Update.,False
167,This template gives the Gregorian serial day.,False
168,See also Sustainability.,False
169,It is open weekday mornings without charge.,False
170,Today the company owns eight Desiro trains.,False
171,The time server may be a local network time server or an internet time server.,False
172,See computable number.,False
173,Today it is used by Old Catholics.,False
174,One man was injured due a tree falling on his car.,False
175,There are many types of door hinges.,False
176,The work is divided in three parts.,False
177,The same is true of many chitons.,False
178,It pushed water into the Pamlico Sound.,False
179,Then the two covenants go different ways.,False
180,We live with the consequences today . '',False
181,It is considered his best poetic work.,False
182,SamanÃ¡ has three airports and one harbor.,False
183,Grace was the first to give evidence.,False
184,"One person drowned in a cellar in Fort Cobb , and another drowned in Kingfisher.",False
185,It is long with a tail of.,False
186,Mangrove trees live right in the water.,False
187,See modern designs.,False
188,The mouse dies.,False
189,Half points awarded.,False
190,COCPs should be taken at approximately the same time every day.,False
191,"After another Tribal Council , things got worse for Ulong as they got lost in the dark on their way back to camp.",False
192,The US military government gives its approval.,False
193,The regatta is held every year in April for three days.,False
194,Another storm-related death took place in Seminole.,False
195,This made it relatively easy to breed from the birds that repeatedly found their way home over long distances.,False
196,The females give birth to live young.,False
197,The village maintains a full time police and fire rescue department.,False
198,See for reference.,False
199,"To add another line , go here.",False
200,"As they jump from tree to tree , tarsiers can catch even birds in motion.",False
201,Clipboards can be made of many things.,False
202,"Because one man and one women would not be chosen due to the numbers , they would be eliminated.",False
203,"He was one of Disney 's Nine Old Men , and the last to die.",False
204,Shelties love to run in wide-open areas.,False
205,I learned the name Maruzen for the first time through LEMON.,False
206,BootVis was used to measure boot time.,False
207,Lyrics are a set of words that make up a song.,False
208,Arteries are blood vessels that carry blood away from the heart.,False
209,See key strengthening.,False
210,Soon Neptune became the internationally accepted name.,False
211,"Some of the topics include packing , the discovery of long-lost treasures , giving things away , and doing things one last time.",False
212,"Every year in the first days of June , the Days of ChojnÃ³w are celebrated.",False
213,Pompeii was transformed into a much more public and open place.,False
214,Gilgamesh is described as two parts god and one part man.,False
215,It was the last time that solid gold medals were awarded ; modern medals are usually gold plated silver.,False
216,"For two hours every day , at UTC 10:00 - 11:59 , there are actually three different days observed at the same time.",False
217,Bad Liebenwerda has a beautiful little park.,False
218,Never a Goth.,False
219,"Unfortunately , she doesn't like discomfort.",False
220,One of the three was John Gregg.,False
221,The ears are very long and rounded.,False
